hour,Pd,Qd,Vm,Va
1,8.095,5.96,1.0545208118723057,4.870101072238291
2,7.285500000000001,5.364,1.0452343786843714,6.798542791455981
3,7.285500000000001,5.364,1.0452343786843714,6.798542791455981
4,8.095,5.96,1.0545208118723057,4.870101072238291
5,9.714,7.152,1.0882553677884077,9.137064321975217
6,12.1425,8.940000000000001,1.098657289605102,8.35646153203339
7,13.761500000000002,10.132,1.1038395848129354,3.105579022039274
8,14.571000000000002,10.728,1.1049723223447236,-0.22761993978091397
9,15.3805,11.324,1.1043856597698343,-2.626608584067965
10,15.3805,11.324,1.1043856597698343,-2.626608584067965
11,15.3805,11.324,1.1043856597698343,-2.626608584067965
12,15.3805,11.324,1.1043856597698343,-2.626608584067965
13,15.3805,11.324,1.1043856597698343,-2.626608584067965
14,15.3805,11.324,1.1043856597698343,-2.626608584067965
15,15.3805,11.324,1.1043856597698343,-2.626608584067965
16,15.3805,11.324,1.1043856597698343,-2.626608584067965
17,15.3805,11.324,1.1043856597698343,-2.626608584067965
18,16.19,11.92,1.0877835671783078,-3.720071701071602
19,15.3805,11.324,1.1043856597698343,-2.626608584067965
20,14.571000000000002,10.728,1.1049723223447236,-0.22761993978091397
21,12.952000000000002,9.536,1.1022904055996081,6.552920085010826
22,11.333,8.344,1.0929039848844453,7.713013167366399
23,9.714,7.152,1.0882553677884077,9.137064321975217
24,8.9045,6.556000000000001,1.0688746869458159,5.5782591080999095
